"INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ADM_RATE_ALL","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","MD_EARN_WNE_P10"
"Southern Arkansas University Tech","Camden","AR",33.628367,-92.721629,NA,15344,4519,4519,33279
"Velvatex College of Beauty Culture","Little Rock","AR",34.735685,-92.289597,NA,NA,NA,NA,18070
"University of Arkansas-Fort Smith","Fort Smith","AR",35.384184,-94.373729,NA,17947,6168,13440,39832
"Academy of Art University","San Francisco","CA",37.787943,-122.400578,NA,44484,26728,26728,39739
"Academy of Chinese Culture and Health Sciences","Oakland","CA",37.805972,-122.269839,NA,NA,NA,NA,NA
"College of Alameda","Alameda","CA",37.781017,-122.279303,NA,20277,1148,8684,42463
"Allan Hancock College","Santa Maria","CA",34.943716,-120.421144,NA,10744,1146,8994,38206
"American Academy of Dramatic Arts-Los Angeles","Los Angeles","CA",34.095378,-118.343701,0.84230769230769,52705,38325,38325,25799
"Berkeley School of Theology","Berkeley","CA",37.865252,-122.256149,0.66666666666666,NA,2896,2896,NA
"American Film Institute Conservatory","Los Angeles","CA",34.10767,-118.310018,NA,NA,NA,NA,NA
"American Beauty College","West Covina","CA",34.069367,-117.936959,NA,NA,NA,NA,22077
"American Career College-Los Angeles","Los Angeles","CA",34.079323,-118.292481,NA,NA,NA,NA,36014
"American River College","Sacramento","CA",38.65085,-121.349672,NA,12586,1288,10768,37189
"Antelope Valley Community College District","Lancaster","CA",34.676207,-118.186166,NA,9507,1124,7724,33708
"Art Center College of Design","Pasadena","CA",34.169031,-118.185102,0.70972762645914,70276,49942,49942,70731
"Associated Technical College-Los Angeles","Los Angeles","CA",34.056102,-118.272364,NA,NA,NA,NA,23436
"Associated Technical College-San Diego","San Diego","CA",32.773178,-117.135196,NA,NA,NA,NA,25100
"Azusa Pacific University","Azusa","CA",34.130047,-117.888375,0.86998254799301,54157,42330,42330,61701
"Bakersfield College","Bakersfield","CA",35.40911,-118.973753,NA,13920,1430,9560,35033
"Barstow Community College","Barstow","CA",34.870285,-117.023412,NA,17693,1104,9072,32782
"Bellus Academy-Chula Vista","Chula Vista","CA",32.614773,-117.083738,NA,NA,NA,NA,21987
"Bethesda University","Anaheim","CA",33.842295,-117.941323,NA,23846,6560,6560,NA
"Biola University","La Mirada","CA",33.906203,-118.014374,0.56628787878787,57785,44382,44382,53148
"Brownson Technical School","Anaheim","CA",33.819032,-117.905774,NA,NA,NA,NA,51438
"Bryan University","Tempe","AZ",33.437779,-111.944197,NA,23399,12184,12184,42510
